date,PET,precipitation,streamflow,temperature
10/1/2009 0:00,1.78436468,0.522257583,0.243681636,17.65842966
10/2/2009 0:00,2.113219652,0.612080055,0.24506478,16.26391712
10/3/2009 0:00,2.57305411,2.738642504,0.234432928,14.58237588
10/4/2009 0:00,3.286094903,0,0.22662348,18.54779843
10/5/2009 0:00,2.747247417,0.020896947,0.22066175,21.81538936
10/6/2009 0:00,2.976995142,0.039041807,0.214191748,23.08656236
10/7/2009 0:00,2.205649149,0.690540331,0.211913494,21.5031323
10/8/2009 0:00,2.115829798,9.205602135,0.246260714,17.16947024
10/9/2009 0:00,1.920585814,0.041717152,0.334078134,16.07622514
10/10/2009 0:00,1.791329483,0.541897019,0.236280646,17.31135556
10/11/2009 0:00,1.273447192,10.25193195,0.372318118,17.45922396
10/12/2009 0:00,1.6132503,2.853974513,0.49572653,15.29882803
10/13/2009 0:00,1.858095425,0.051509899,0.468536974,11.52441186
10/14/2009 0:00,1.79972019,9.258621676,0.3133825,10.5311752
10/15/2009 0:00,1.612094219,0.41456515,0.254560494,8.903418213
10/16/2009 0:00,1.522699354,1.432134153,0.235790313,6.08041545
10/17/2009 0:00,1.667332102,3.43586571,0.224656169,7.082983915
10/18/2009 0:00,1.654818208,0.370596119,0.221492924,7.862287222
10/19/2009 0:00,2.189469877,1.915460262,0.219627267,10.99843768
10/20/2009 0:00,1.54847131,9.678240036,0.2324118,14.52828417
10/21/2009 0:00,1.637259147,0.624796116,0.379122982,12.40955015
10/22/2009 0:00,1.355851724,17.77926458,0.819567471,12.848507
10/23/2009 0:00,1.159285636,6.147005654,1.088945585,12.49461009
10/24/2009 0:00,1.973891617,0.389963336,1.125301973,17.12905911
10/25/2009 0:00,1.134946023,2.229911008,0.607869245,16.2938436
10/26/2009 0:00,1.864180902,0.029767813,0.48144708,15.30338245
10/27/2009 0:00,2.301015349,0.005509848,0.38403827,16.48980658
10/28/2009 0:00,2.079939406,0.006495081,0.324116006,17.12970675
10/29/2009 0:00,1.991112634,0.058241935,0.298588798,17.35351853
10/30/2009 0:00,1.898636354,0,0.27324696,16.18776977
10/31/2009 0:00,1.727652166,0.075375482,0.254704006,17.17531362
11/1/2009 0:00,1.926967406,18.71074292,0.284123978,17.53885569
11/2/2009 0:00,1.122679447,1.546678433,0.615325892,12.30256341
11/3/2009 0:00,1.251315533,0.032862815,0.703537971,14.97910767
11/4/2009 0:00,1.108042465,7.326781243,0.915595669,11.80166915
11/5/2009 0:00,0.662506367,29.00609057,4.988889775,8.278289962
11/6/2009 0:00,1.106234962,22.91480891,7.988557654,9.860768091
11/7/2009 0:00,1.027832613,19.55681739,10.86743352,9.905688304
11/8/2009 0:00,0.76495211,37.31388045,16.78586376,9.533800019
11/9/2009 0:00,0.727527265,25.03240458,23.10925653,8.554131759
11/10/2009 0:00,1.019430067,13.49158417,10.80344429,9.484453619
11/11/2009 0:00,1.151395159,1.626487683,10.28041459,12.81611234
11/12/2009 0:00,1.210898011,0,4.55566474,15.39901817
11/13/2009 0:00,1.084640582,0.005587038,4.09789715,17.17868672
11/14/2009 0:00,1.339729769,0.659176304,3.511668328,15.67177276
11/15/2009 0:00,1.444456015,0.612349711,3.146280646,16.54979223
11/16/2009 0:00,1.20436101,0.006917871,1.998184174,15.65622158
11/17/2009 0:00,0.923262488,1.13930846,1.354478772,12.0248246
11/18/2009 0:00,1.16414664,0.087248697,0.953828981,10.51120874
11/19/2009 0:00,1.400000815,0.016907368,0.710815228,14.51072287
11/20/2009 0:00,1.128402651,0.005370606,0.553717361,15.35311193
11/21/2009 0:00,1.011313629,0,0.618142316,16.45958996
11/22/2009 0:00,1.08056047,0.228154264,0.431277656,13.01409462
11/23/2009 0:00,1.090246218,0.002516695,0.533649591,11.13724134
11/24/2009 0:00,1.286989934,0,0.535084712,10.89894843
11/25/2009 0:00,1.011894874,2.471491283,0.373573849,12.97422203
11/26/2009 0:00,0.995419309,0.068097665,0.542971896,9.725136003
11/27/2009 0:00,0.878777119,0,0.785620889,8.403951041
11/28/2009 0:00,1.065365822,0.005496905,0.355790313,10.7746205
11/29/2009 0:00,0.944070214,4.3465355,0.357452661,8.600970211
11/30/2009 0:00,0.633135282,15.37572142,0.965435519,6.759061487
12/1/2009 0:00,0.712023447,4.39960151,1.483316723,7.43023513
12/2/2009 0:00,1.066175834,4.426323339,2.258090492,11.42131658
12/3/2009 0:00,0.594981119,10.13143448,3.45668527,9.488427259
12/4/2009 0:00,0.812512526,3.18725066,2.582122783,9.882266636
12/5/2009 0:00,1.087162049,0.010210064,1.577454654,12.3170028
